MÊS;ERP
jan/21;0.103459537911765
fev/21;0.0990369765352532
mar/21;0.112020046096829
abr/21;0.1105
mai/21;0.103756060197642
jun/21;0.112887770240685
jul/21;0.1217
ago/21;0.118604705702327
set/21;0.153214673493069
out/21;0.1565
nov/21;0.154801162954642
dez/21;0.180869754736818
jan/22;0.15203711549167
fev/22;0.150450865186469
mar/22;0.134026997786468
abr/22;0.136615504669276
mai/22;0.1321
jun/22;0.1651
